full_date,speech_name,raw_spoke_to,vars.link,spoke_to,org_exist,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
12-Sep-97,Monetary policy and the bond market: Complements or substitutes,"Before the Fixed Income Summit of PSA The Bond Market Trade Association, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/199709122.htm,the Fixed Income Summit of PSA The Bond Market Trade Association,, Washington, D.C.,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17-Sep-97,The economic outlook and challenges facing monetary policy,"Before the 1998 Global Economic and Investment Outlook Conference, Carnegie Mellon University, Pittsburgh, Pennsylvania",http://www.federalreserve.gov/boarddocs/speeches/1997/19970917.htm,the 1998 Global Economic and Investment Outlook Conference,, Carnegie Mellon University, Pittsbur,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
19-Sep-97,Derivatives and risk management,"At the Derivatives & Risk Management Symposium of the Fordham University School of Law, New York, New York",http://www.federalreserve.gov/boarddocs/speeches/1997/19970919.htm,Derivatives & Risk Management Symposium of the Fordham University School of Law,, New York, New Y,Susan M. Phillips,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
23-Sep-97,The role of the Federal Reserve in the payments system,"Before the Bank Administration Institute's Symposium on Payments System Strategy, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/19970923.htm,the Bank Administration Institute's Symposium on Payments System Strategy,, Washington, D.C.,Edward W. Kelley,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
05-Oct-97,Technological change and the economy,"At the Annual Convention of the American Bankers Association, Boston, Massachusetts",http://www.federalreserve.gov/boarddocs/speeches/1997/19971005.htm,Annual Convention of the American Bankers Association,, Boston, Massachusetts,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11-Oct-97,Consumer credit and financial modernization,"At the Economic Development Conference of the Greenlining Institute, San Francisco, California",http://www.federalreserve.gov/boarddocs/speeches/1997/19971011.htm,Economic Development Conference of the Greenlining Institute,, San Francisco, California,Alan Greenspan,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
14-Oct-97,Globalization of finance,"At the 15th Annual Monetary Conference of the Cato Institute, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/19971014.htm,15th Annual Monetary Conference of the Cato Institute,, Washington, D.C.,Alan Greenspan,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
14-Oct-97,Inaugural speech for economic seminar series,"At the University of Connecticut, Storrs, Connecticut",http://www.federalreserve.gov/boarddocs/speeches/1997/199710142.htm,University of Connecticut,, Storrs, Connecticut,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
14-Oct-97,Globalization and U.S. monetary policy,"Before the Institute for Global Management and Research School of Business and Public Management, The George Washington University, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/199710143.htm,the Institute for Global Management and Research School of Business and Public Management,, The G,,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
15-Oct-97,Black Monday: 10 years later,"At a program of the Financial Women's Association, Bentley College, Waltham, Massachusetts",http://www.federalreserve.gov/boarddocs/speeches/1997/19971015.htm,rogram of the Financial Women's Association,, Bentley College, Waltham,Susan M. Phillips,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
30-Oct-97,Trends and challenges in Federal Reserve bank supervision,"At Houston Baptist University, Houston, Texas",http://www.federalreserve.gov/boarddocs/speeches/1997/19971030.htm,ston Baptist University,, Houston, Texas,Susan M. Phillips,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
31-Oct-97,Community development: Changes and challenges,"Before the Federal Reserve Bank of Chicago Biannual Community Development Conference, Chicago, Illinois",http://www.federalreserve.gov/boarddocs/speeches/1997/19971031.htm,the Federal Reserve Bank of Chicago Biannual Community Development Conference,, Chicago, Illinois,Laurence H. Meyer,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
04-Nov-97,Risk management,"At the Asset/Liability and Treasury Management Conference of the Bank Administration Institute, Chicago, Illinois",http://www.federalreserve.gov/boarddocs/speeches/1997/19971104.htm,Asset/Liability and Treasury Management Conference of the Bank Administration Institute,, Chicago,,Susan M. Phillips,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
07-Nov-97,Price measurement,"At the Center for Financial Studies Frankfurt, Germany",http://www.federalreserve.gov/boarddocs/speeches/1997/19971107.htm,Center for Financial Studies Frankfurt,, Germany,,Alan Greenspan,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
01-Dec-97,New approaches to small business development partnerships,"At the University of Wisconsin-Milwaukee, Urban Studies Programs, Milwaukee, Wisconsin",http://www.federalreserve.gov/boarddocs/speeches/1997/19971201.htm,University of Wisconsin-Milwaukee,, Urban Studies Programs, Milwaukee,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
02-Dec-97,Growth and flexibility: Lessons from Asia,"At The Economic Club of New York, New York, N.Y.",http://www.federalreserve.gov/boarddocs/speeches/1997/19971202.htm,Economic Club of New York,, New York, N.Y.,Alan Greenspan,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
03-Dec-97,The role of education during rapid economic change,"At Syracuse University, Syracuse, New York",http://www.federalreserve.gov/boarddocs/speeches/1997/19971203.htm,acuse University,, Syracuse, New York,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
15-Dec-97,"The ""Millennium Bug""","Before the Professional Banker's Association, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/19971215.htm,the Professional Banker's Association,, Washington, D.C.,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03-Jan-98,Problems of price measurement,"At the Annual Meeting of the American Economic Association and the American Finance Association, Chicago, Illinois",http://www.federalreserve.gov/boarddocs/speeches/1998/19980103.htm,Annual Meeting of the American Economic Association and the American Finance Association,, Chicag,,Alan Greenspan,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
