initialorder,Date,speechtitle,TestimonyHyperlink,name,position_cat1,position_cat2,committefull,CleanFullCommitteeName1,CleanFullCommitteeName2,SubCommittee,duplicatespeech,legislature,full_date,HearingNumber,TranscriptHyperlink,FedLetterCorrespondence,attendance,laughter,SecondTestimony,SpecialInterest,
36,12-May-2011,Dodd-Frank Implementation: Monitoring Systemic Risk and Promoting Financial Stability,http://www.federalreserve.gov/newsevents/testimony/bernanke20110512a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,12/05/2011,"S. Hrg. 112-183
",http://www.gpo.gov/fdsys/pkg/CHRG-112shrg71127/html/CHRG-112shrg71127.htm,,,2,,,
40,12-Apr-2011,Derivatives regulation,http://www.federalreserve.gov/newsevents/testimony/tarullo20110412a.htm,Daniel K. Tarullo,Governor,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,12/04/2011,"S. Hrg. 112-102
",http://www.gpo.gov/fdsys/pkg/CHRG-112shrg68398/html/CHRG-112shrg68398.htm,,,2,,,
43,1-Mar-2011,Semiannual Monetary Policy Report to the Congress,http://www.federalreserve.gov/newsevents/testimony/bernanke20110301a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,"Chairman Bernanke presented identical remarks before the Committee on Financial Services, U.S. House of Representatives, on March 2, 2011",Senate,01/03/2011,"S. Hrg. 112-8
",http://www.gpo.gov/fdsys/pkg/CHRG-112shrg65824/html/CHRG-112shrg65824.htm,,,1,,,
45,17-Feb-2011,Implementation of the Dodd-Frank Act,http://www.federalreserve.gov/newsevents/testimony/bernanke20110217a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,17/02/2011,"S. Hrg. 112-6
",http://www.gpo.gov/fdsys/pkg/CHRG-112shrg65718/html/CHRG-112shrg65718.htm,,,5,,,
50,1-Dec-2010,Problems in mortgage servicing,http://www.federalreserve.gov/newsevents/testimony/tarullo20101201a.htm,Daniel K. Tarullo,Governor,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,01/12/2010,"S. Hrg. 111-987
",http://www.gpo.gov/fdsys/pkg/CHRG-111shrg65258/html/CHRG-111shrg65258.htm,,,13,,,
52,30-Sep-2010,Regulatory Reform Implementation,http://www.federalreserve.gov/newsevents/testimony/bernanke20100930a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,30/09/2010,"111-879
",http://www.gpo.gov/fdsys/pkg/CHRG-111shrg64796/html/CHRG-111shrg64796.htm,,,12,,,
56,21-Jul-2010,Semiannual Monetary Policy Report to the Congress,http://www.federalreserve.gov/newsevents/testimony/bernanke20100721a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,"Chairman Bernanke presented identical remarks before the Committee on Financial Services, U.S. House of Representatives, on July 22, 2010",Senate,21/07/2010,"S. Hrg. 111-742
",http://www.gpo.gov/fdsys/pkg/CHRG-111shrg62643/html/CHRG-111shrg62643.htm,,,0,,,
74,3-Dec-2009,Confirmation hearing,http://www.federalreserve.gov/newsevents/testimony/bernanke20091203a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,03/12/2009,"S. Hrg. 111-206
",http://www.gpo.gov/fdsys/pkg/CHRG-111shrg54239/html/CHRG-111shrg54239.htm,,,6,,,
82,4-Aug-2009,Bank supervision,http://www.federalreserve.gov/newsevents/testimony/tarullo20090804a.htm,Daniel K. Tarullo,Governor,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,04/08/2009,"S. Hrg. 111-407
",http://www.gpo.gov/fdsys/pkg/CHRG-111shrg56376/html/CHRG-111shrg56376.htm,,,11,,,
84,23-Jul-2009,Regulatory restructuring,http://www.federalreserve.gov/newsevents/testimony/tarullo20090723a.htm,Daniel K. Tarullo,Governor,   ,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,"Chairman Bernanke presented identical remarks before the Committee on Financial Services, U.S. House of Representatives, on July 24, 2009",Senate,23/07/2009,"S. Hrg. 111-297
",http://www.gpo.gov/fdsys/pkg/CHRG-111shrg55278/html/CHRG-111shrg55278.htm,,,9,,,
