full_date,name,SpeechID,Financial.Markets,Macroeconomics,Monetary.Policy,International.Economy,Local.Housing.Dev,Banking.Regulation,,top,max,countzeros,randrange,intruder,206,SpeechID,full_date,name,,,,,
29-Apr-99,Alan Greenspan,150,0.473429948,0,0.126984134,0.176673561,0,0.113871634,,,0.473429948,2,1,,,150,29-Apr-99,Alan Greenspan,,,,,
6-May-99,Alan Greenspan,151,0,0.474568367,0,0.36070928,0,0,,,0.474568367,4,4,,,151,6-May-99,Alan Greenspan,,,,,
13-May-99,Alice M. Rivlin,152,0,0,0.213316888,0.456226885,0.123304561,0.087546237,,,0.456226885,2,2,,,152,13-May-99,Alice M. Rivlin,,,,,
13-May-99,Alice M. Rivlin,153,0,0.394623667,0,0.427956998,0.060215052,0,,,0.427956998,3,3,,,153,13-May-99,Alice M. Rivlin,,,,,
1-Jun-99,Alice M. Rivlin,154,0.083798885,0.41061452,0.072625697,0.349162012,0,0,,,0.41061452,2,2,,,154,1-Jun-99,Alice M. Rivlin,,,,,
2-Jun-99,Alan Greenspan,155,0,0,0,0.741935492,0,0,,,0.741935492,5,2,,,155,2-Jun-99,Alan Greenspan,,,,,
3-Jun-99,Laurence H. Meyer,156,0,0,0,0,0,0.746510565,,,0.746510565,5,4,,,156,3-Jun-99,Laurence H. Meyer,,,,,
10-Jun-99,Roger W. Ferguson,157,0.116618074,0.282069981,0.409621,0.088192418,0,0,,,0.409621,2,2,,,157,10-Jun-99,Roger W. Ferguson,,,,,
10-Jun-99,Alan Greenspan,158,0,0,0,0.824210525,0,0,,,0.824210525,5,2,,,158,10-Jun-99,Alan Greenspan,,,,,
14-Jun-99,Laurence H. Meyer,159,0.268530846,0,0,0,0,0.588104725,,,0.588104725,4,2,,,159,14-Jun-99,Laurence H. Meyer,,,,,
16-Jun-99,Edward M. Gramlich,160,0,0,0,0.097863249,0.688888907,0.075213678,,,0.688888907,3,1,,,160,16-Jun-99,Edward M. Gramlich,,,,,
22-Jun-99,Roger W. Ferguson,161,0.101941749,0,0.070388347,0.087378643,0.094660193,0.58495146,,,0.58495146,1,1,,,161,22-Jun-99,Roger W. Ferguson,,,,,
29-Jul-99,Roger W. Ferguson,162,0.225531921,0,0,0.218723401,0.128510639,0.3506383,,,0.3506383,2,2,,,162,29-Jul-99,Roger W. Ferguson,,,,,
