,DateField,Date,speech_name,raw_spoke_to,spoke_to,org_exist,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
71,2/1/1998,2/26/1998,The role of capital in optimal banking supervision and regulation,"Before the Conference on Capital Regulation in the 21st Century, Federal Reserve Bank of New York, New York, NY",the Conference on Capital Regulation in the 21st Century,NA, Federal Reserve Bank of New York, New,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
72,2/1/1998,2/27/1998,Risk management in the global financial system,"Before the Annual Financial Markets Conference of the Federal Reserve Bank of Atlanta, Miami Beach, Florida",the Annual Financial Markets Conference of the Federal Reserve Bank of Atlanta,NA, Miami Beach, Flo,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
73,2/1/1998,2/27/1998,Monetary rules,"The Samuelson Lecture, before the 24th Annual Conference of the Eastern Economic Association, New York, New York",muelson Lecture,NA, before the 24th Annual Conference of the Eastern Economic Association, New York,Edward M. Gramlich,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
74,3/1/1998,3/2/1998,Financial globalization and efficient banking regulation,"Before the Annual Washington Conference of the Institute of International Bankers, Washington, D.C.",the Annual Washington Conference of the Institute of International Bankers,NA, Washington, D.C.,Laurence H. Meyer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
75,3/1/1998,3/3/1998,Implications of recent Asian developments for community banking,"Before the Annual Convention of the Independent Bankers Association of America, Honolulu, Hawaii",the Annual Convention of the Independent Bankers Association of America,NA, Honolulu, Hawaii,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,3/1/1998,3/4/1998,The Asian crisis: lessons to be learned and relearned,"Before America's Community Bankers, Washington, D.C.",America's Community Bankers,NA, Washington, D.C.,Roger W. Ferguson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,3/1/1998,3/6/1998,Capital budgeting,"Before the President's Commission to Study Capital Budgeting, Washington, D.C.",the President's Commission to Study Capital Budgeting,NA, Washington, D.C.,Edward M. Gramlich,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
78,3/1/1998,3/9/1998,Bank supervision: lessons from the consulting perspective,"Before the Conference of State Bank Supervisors, Washington, D.C.",the Conference of State Bank Supervisors,NA, Washington, D.C.,Roger W. Ferguson,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
79,3/1/1998,3/16/1998,The strategy of monetary policy ,"The Alan R. Holmes Lecture, Middlebury College, Middlebury, Vermont",an R. Holmes Lecture,NA, Middlebury College, Middlebury,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
80,3/1/1998,3/17/1998,Four themes of sound international supervision ,"Before the Conference on Coping with Financial Crisis in Developing and Transition Countries: Regulatory and Supervisory Challenges in a New Era of Global Finance, Forum on Debt and Development,De Nederlandsche Bank, Amsterdam",the Conference on Coping with Financial Crisis in Developing and Transition Countries: Regulator,NA,,,Susan M. Phillips,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
